9755572;Tianben Ding
9765177;Romildo Pereira Brito
9773715;Gwangmin Kim
9781495;Xiaolin Ye
9784745;Guoqiang Peter Zhang
9784937;Paola Fossa
9785840;Sophie Tarbouriech
9787508;T. G. A. Youngs
9790327;Lihong Huang
9793012;Iñigo Monedero
9793879;János Flesch
9794286;Nikolaos D. Doulamis
9794748;Shufang Lu
9795023;Juan-Carlos Montaño
9796519;Motoki Obata
9797504;Wenlong Zhang
9798706;Daniel Barrell
9802620;Shweta Sinha
9803098;Ting Li 0021
9803572;Erich Strohmaier
9804048;Sarah Wiseman
9804163;Jan Radil
9804527;Xiong Li
9805685;Zhanfeng Wang
9812323;Weiyi Wang
9813602;Sanjaya Kumar Panda
9815431;Fateme Kouchakinejad
9817991;Bernard Donovan
9821137;Daniel Alexandre Vera
9828242;Charles R. Lane
9830636;Spencer S. C. Tao
9831122;Abdul Salam
9832991;Katarzyna Bazarnik
9833691;Gongping Yang
9834809;Hirokazu Tabayashi
9835187;Satoshi Haruyama
9835284;Randolph T. Yeh
9840087;Huiling Chen 0001
9846027;Shiyu Chen
9846407;Nabil Ali
9850807;Hafeez Anwar
9850877;Min-Kook Choi
9851503;Ehsan Abed
9851510;Hyun-Gyu Lee
9859411;Laurentiu Mierla
9859783;Sonia White
9860132;Chunbao Ding
9862203;Luís Moreira-Matias
9867322;Alessandra Ordinelli
9872351;Lu Yang 0005
9873223;Giorgio Valmorbida
9873780;William Rundell
9875243;Sooyong Choi
9876500;Michael N. Vrahatis
9877658;Jae-Yoon Sim
9879082;Andrea Marongiu
9879797;Justin Bedo
9880331;Ping Lin 0001
9880383;Lev Idels
9880449;Xiaofang Wang
9882286;Wai-Sun Don
9882510;Stephen M. J. Searle
9882535;Yongli Ren
9883476;Dapeng Tao
9883862;Jørgen Bang-Jensen
9884716;Guy Coates
9889624;Eva Rose
9889925;Uma Shanker Tiwary
9889928;Devender Singh
9892121;Daqiang Zhang
9892480;Kathryn Beal
9892896;Jianhua Zhang 0001
9894064;ShouGuang Wang
9894156;Hyung Joong Kim
9894333;Leland Jameson
9894369;Higinio Ramos
9894915;Virendra Singh
9899768;Armir Bujari
9900568;Kyle A. Hilburn
9900692;Xingyuan Wang
9901945;Peijun Du
9902455;Xiaotong Zhang 0001
9903483;Mitsuru Matsui
9903816;Alexander Utz
9905316;Tabasam Rashid
9905957;Wenhui Wu
9906475;Qilun Zhu
9908838;Yu-Fei Liu
9914036;David Avis
9914148;Fred S. Annexstein
9914194;José Nelson Amaral
9919499;Jiayu Yang
9921712;Giulia Buttazzoni
9922624;Claudia Cavallaro
9924947;Isaac Harris
9926349;Newton Singh
9933345;Jinghao Li
9934142;Daniel Pérez Palomar
9935327;Johan De Keyser
9936805;Alea M. Fairchild
9936991;Dongyue Jin
9937021;Alessandro Zimmer
9938273;Maira T. Medina
9939295;Sadatoshi Inoue
9940653;Xiaoping Liu
9942615;Jiawei Chen 0001
9944037;Andre Lüdecke
9946293;Samuli Piipponen
9951480;Paolo Cicconi
9953278;Chiara Airoldi
9954131;Guglielmo Pacileo
9954183;Ankang Chen
9954967;Maria Rowinski
9957717;Genny Franceschetti
9959216;Qihang Jiang
9961832;Andrea Sarro
9962024;Alessandro Pecere
9962462;Gabriel A. Baum
9962988;Robert K. Brayton
9963210;Alexander Brodsky 0001
9964750;Hironori Kasahara
9965275;Bruno Cernuschi-Frías
9965453;Haibo Wang
9965515;Y. Kunitake
9965575;Duanyang Liu
9966298;Ulrike Püschmann
9967071;Mijail Borges-Quintana
9967470;Karen Ka-Leung Moon
9967565;Abdelaziz Bouras
9967769;Laurent Gil
9968149;Nor Hidayati Zakaria
9970181;Russel Pears
9971387;Ohin Kwon
9973402;Daniel Panario
9973545;Gerhard van Wee
9973840;Ziran Tu
9974158;Liangli Ma
9974588;Jose Carrasco
9975820;Anatoli Ivanov
9977318;Jens Gräbel
9977894;Miriam Rosenbaum
9978157;Georg Stegschuster
9978393;Reza Ghorbani Saber
9981321;Peter Farber
9981967;Liesa Pötschke
9982436;Norman Kroppen
9983680;Hafida Saggou
9986135;Eric Mansfield
9987365;Bugra Alkan
9987563;Abdeldjalil Slama
9993205;Shen Yin
9994380;Rick Raymer
9994705;Renee Drabier
9999095;Haneul Ko
10014696;Fucai Luo
10020372;Jing-Jie Yu
10020841;Dejun Cui
10025214;Yi-Chi Zhang 0002
10038173;Xiao-Chen Wei
10040609;Xiao-Wei Ma
10041602;Fred A. Masterson
10044491;Si-Yu Kong
10045965;Varun Venkitaraman
10046465;Jian-Sheng Fan
10049100;Zhiping Mao
10050215;Sercan Ozcan
10051741;Pascal Halffmann
10056631;Alberto Gil-Solla
10056677;Fan Zhang 0008
10057248;Minho Jo 0001
10057636;Wei Jiang
10059387;Tomás Rebok
